city,state,state_name,county,lat,lng,population,density,timezone,zips
"Springfield","IL","Illinois","Sangamon","39.7709","-89.654","156240","716.7","America/Chicago","62711,62712,62629,62702,62703,62701,62706,62707,62704,62705,62715,62716,62719,62722,62726,62736,62739,62756,62757,62761,62762,62763,62765,62766,62767,62769,62776,62777,62781,62786,62796"
"Kansas City","KS","Kansas","Wyandotte","39.1235","-94.7443","154776","479.1","America/Chicago","66101,66102,66103,66104,66105,66106,66109,66160,66112,66111,66115,66118,66110,66117,66119"
"Burlington","NC","North Carolina","Alamance","36.076","-79.4685","154504","734.7","America/New_York","27217,27215"
"Warner Robins","GA","Georgia","Houston","32.5961","-83.6527","154327","811.6","America/New_York","31088,31005,31093,31099"
"Sunnyvale","CA","California","Santa Clara","37.3836","-122.0255","153455","2685.8","America/Los_Angeles","94085,94086,94087,94089,94088"
"Hollywood","FL","Florida","Broward","26.0293","-80.1679","152935","2166.9","America/New_York","33024,33021,33023,33022,33020,33004,33316,33312,33019,33081,33082,33302"
"Roseville","CA","California","Placer","38.7703","-121.3196","152438","1335","America/Los_Angeles","95661,95747,95678"
"New Bedford","MA","Massachusetts","Bristol","41.6697","-70.9428","152104","1944.4","America/New_York","02740,02744,02745,02746,02741,02742"
"South Lyon","MI","Michigan","Oakland","42.4614","-83.6526","151231","1220.3","America/Detroit","48178"
"Bellevue","WA","Washington","King","47.5951","-122.1535","151199","1744.3","America/Los_Angeles","98004,98005,98006,98007,98008,98009,98015"
"Fairfield","CA","California","Solano","38.2583","-122.0335","150794","1114","America/Los_Angeles","94533,94534,94535"
"Binghamton","NY","New York","Broome","42.1014","-75.9093","150564","1744.8","America/New_York","13904,13905,13901,13903"
"Topeka","KS","Kansas","Shawnee","39.0346","-95.6955","150343","786.6","America/Chicago","66621,66622,66609,66608,66607,66606,66605,66604,66603,66619,66611,66612,66614,66616,66601,66624,66625,66626,66629,66636,66647,66667,66675,66683,66699"
"Escondido","CA","California","San Diego","33.1348","-117.0723","149913","1549.6","America/Los_Angeles","92029,92025,92026,92027,92030,92033,92046"
"Joliet","IL","Illinois","Will","41.5188","-88.1499","149785","872.5","America/Chicago","60421,60586,60432,60433,60431,60436,60435,60434"
"Surprise","AZ","Arizona","Maricopa","33.6815","-112.4515","149519","522.4","America/Phoenix","85361,85379,85388,85387,85374,85378"
"Naperville","IL","Illinois","DuPage","41.748","-88.1659","149424","1466","America/Chicago","60540,60563,60564,60565,60567"
"Pasadena","TX","Texas","Harris","29.6575","-95.1498","149345","1319.8","America/Chicago","77058,77059,77586,77506,77507,77504,77505,77502,77503,77258,77501,77508"
"Mesquite","TX","Texas","Dallas","32.7602","-96.5865","148848","1170.4","America/Chicago","75149,75126,75150,75181,75185,75187"
"Champaign","IL","Illinois","Champaign","40.1142","-88.2737","148477","1489.3","America/Chicago","61822,61820,61821,61824,61825,61826"
"Pomona","CA","California","Los Angeles","34.0585","-117.7626","148391","2492.8","America/Los_Angeles","91768,91766,91767,91769"
"Houma","LA","Louisiana","Terrebonne","29.58","-90.7059","147841","874.3","America/Chicago","70363,70360,70361"
"Athens","GA","Georgia","Clarke","33.9508","-83.3689","147368","421.1","America/New_York","30602,30622,30601,30605,30606,30607,30609,30683,30603,30608"
"St. George","UT","Utah","Washington","37.0758","-113.5752","147347","494.7","America/Denver","84770,84790,84791"
